Symbol	IPA	Example

aa 	ɑː 	palm
ae 	æ 	trap
ah 	ʌ 	strut
ao 	ɔː 	thought
aw 	aʊ 	mouth
ax 	ə 	commA
ay 	aɪ 	price
eh 	e 	dress
er 	ɜː 	nurse
ex 	eə 	square
ey 	eɪ 	face
ih 	ɪ 	kit
ix 	ɪə 	near
iy 	iː 	fleece
oh 	ɒ 	lot
ow 	əʊ 	goat
oy 	ɔɪ 	choice
uh 	ʊ 	foot
uw 	uː 	goose
ux 	ʊə 	cure

el 	l̩ 	bottle
em 	m̩ 	rhythm
en 	n̩ 	button

b 	b 	bell
ch 	tʃ 	chill
d 	d 	deep
dh 	ð 	this
dx 	ɾ 	very
f 	f 	fill
g 	g 	get
hh 	h 	hill
jh 	dʒ 	jeep
k 	k 	kept
l 	l 	let
m 	m 	map
n 	n 	net
ng 	ŋ 	sing
p 	p 	pet
r 	ɹ 	red
s 	s 	sit
sh 	ʃ 	ship
t 	t 	tap
th 	θ 	thing
v 	v 	vet
w 	w 	will
y 	j 	yet
z 	z 	zip
zh 	ʒ 	genre
